year,step,n_rows,n_pid,n_fid
2010,Intergenerational link identified,33600,33600,14608
2010,Intergenerational link identified,33600,33600,14608
2010,Matched to at least one parent,6809,6809,5359
2010,Matched to at least one parent,6809,6809,5359
2010,Matched to family economic data,6796,6796,5348
2010,Matched to family economic data,6796,6796,5348
2010,Raw adult sample,33600,33600,14608
2010,Raw adult sample,33600,33600,14608
2010,Valid unique respondents,33600,33600,14608
2010,Valid unique respondents,33600,33600,14608
2010,With child occupational outcome,3153,3153,2777
2010,With child occupational outcome,3153,3153,2777
2010,Yearly file saved,6809,6809,5359
2010,Yearly file saved,6809,6809,5359
2012,Intergenerational link identified,35719,35719,13281
2012,Intergenerational link identified,35719,35719,13281
2012,Matched to at least one parent,10097,10097,7279
2012,Matched to at least one parent,10097,10097,7279
2012,Matched to family economic data,10068,10068,7254
2012,Matched to family economic data,10068,10068,7254
2012,Raw adult sample,35719,35719,
2012,Raw adult sample,35719,35719,
2012,Valid unique respondents,35719,35719,13281
2012,Valid unique respondents,35719,35719,13281
2012,With child occupational outcome,2988,2988,2683
2012,With child occupational outcome,2988,2988,2683
2012,Yearly file saved,10097,10097,7279
2012,Yearly file saved,10097,10097,7279
2014,Intergenerational link identified,37147,37147,13944
2014,Intergenerational link identified,37147,37147,13944
2014,Matched to at least one parent,11394,11394,8313
2014,Matched to at least one parent,11394,11394,8313
2014,Matched to family economic data,11292,11292,8227
2014,Matched to family economic data,11292,11292,8227
2014,Raw adult sample,39768,37147,
2014,Raw adult sample,39768,37147,
2014,Valid unique respondents,37147,37147,
2014,Valid unique respondents,37147,37147,
2014,With child occupational outcome,7623,7623,6322
2014,With child occupational outcome,7623,7623,6322
2014,Yearly file saved,11394,11394,8313
2014,Yearly file saved,11394,11394,8313
2016,Intergenerational link identified,36892,36892,14318
2016,Intergenerational link identified,36892,36892,14318
2016,Matched to at least one parent,11774,11774,8690
2016,Matched to at least one parent,11774,11774,8690
2016,Matched to family economic data,11473,11473,8429
2016,Matched to family economic data,11473,11473,8429
2016,Raw adult sample,36892,36892,
2016,Raw adult sample,36892,36892,
2016,Valid unique respondents,36892,36892,14318
2016,Valid unique respondents,36892,36892,14318
2016,With child occupational outcome,9054,9054,7315
2016,With child occupational outcome,9054,9054,7315
2016,Yearly file saved,11774,11774,8690
2016,Yearly file saved,11774,11774,8690
2018,Intergenerational link identified,37123,37123,14246
2018,Intergenerational link identified,37123,37123,14246
2018,Matched to at least one parent,13168,13168,8942
2018,Matched to at least one parent,13168,13168,8942
2018,Matched to family economic data,12938,12938,8745
2018,Matched to family economic data,12938,12938,8745
2018,Raw adult sample,37123,37123,
2018,Raw adult sample,37123,37123,
2018,Valid unique respondents,37123,37123,14246
2018,Valid unique respondents,37123,37123,14246
2018,With child occupational outcome,6982,6982,6063
2018,With child occupational outcome,6982,6982,6063
2018,Yearly file saved,13168,13168,8942
2018,Yearly file saved,13168,13168,8942
2020,Intergenerational link identified,28530,28530,11550
2020,Intergenerational link identified,28530,28530,11550
2020,Matched to at least one parent,10321,10321,6895
2020,Matched to at least one parent,10321,10321,6895
2020,Matched to family economic data,10048,10048,6696
2020,Matched to family economic data,10048,10048,6696
2020,Raw adult sample,28530,28530,
2020,Raw adult sample,28530,28530,
2020,Valid unique respondents,28530,28530,11550
2020,Valid unique respondents,28530,28530,11550
2020,With child occupational outcome,5753,5753,4969
2020,With child occupational outcome,5753,5753,4969
2020,Yearly file saved,10321,10321,6895
2020,Yearly file saved,10321,10321,6895
2022,Intergenerational link identified,27001,27001,11212
2022,Intergenerational link identified,27001,27001,11212
2022,Matched to at least one parent,10162,10162,6713
2022,Matched to at least one parent,10162,10162,6713
2022,Matched to family economic data,9674,9674,6363
2022,Matched to family economic data,9674,9674,6363
2022,Raw adult sample,27001,27001,
2022,Raw adult sample,27001,27001,
2022,Valid unique respondents,27001,27001,11212
2022,Valid unique respondents,27001,27001,11212
2022,With child occupational outcome,5695,5695,5007
2022,With child occupational outcome,5695,5695,5007
2022,Yearly file saved,10162,10162,6713
2022,Yearly file saved,10162,10162,6713
