group,mediator,mlabel,N,a,b,direct,total,indirect,lb_indirect,ub_indirect,lb_direct,ub_direct,lb_total,ub_total,sig_indirect,pm_share
Behavior/social,child_exercise,Exercise,3399,-12.071783,-.0012742949,2.6877224,2.7031054,.015383012,-.0051701454209078,.035936169,2.29768848954586,3.0777564,2.313800053089633,3.0924108,0,.0056908661
Behavior/social,child_party,Child CPC,7032,.023939187,7.5662928,2.8014965,2.9826274,.18113089,,,,,,,,.060728632
Behavior/social,child_religion,Religion,7214,-.000011124089,-.79564011,3.1361704,3.1361794,8.8507713e-06,-.0084825628999553,.008500264,2.823451595412177,3.4488895,2.822612879156387,3.4497459,0,2.8221507e-06
Human capital,child_boarding,Boarding,134,-.0053789401,-1.1231747,1.6419251,1.6479666,.0060414895,-.2515415056930985,.26362449,-1.137670925625538,4.4215212,-.9286777972467146,4.2246113,0,.0036660268
Human capital,child_edu,Child education,6959,1.0223516,1.773152,1.3279635,3.1407483,1.8127848,1.667568851937555,1.9580007,1.061739009555547,1.5941879,2.876004464040695,3.4054921,1,.57718247
Human capital,child_edu_expect,Educational expectation,3859,.24087764,2.737648,2.3693531,3.0287912,.65943819,.5249168284885142,.79395956,2.026512887596917,2.712193,2.688951330153003,3.3686309,1,.21772322
Human capital,child_tutor,Tutoring,55,.030146452,-.78468138,-.14837666,-.17203201,-.023655361,-.3920393987810598,.34472868,-2.099402175792098,1.8026489,-2.116947621382755,1.7728837,0,.13750558
Information/life,child_internet,Internet access/use,6548,.043971315,5.6506734,2.8734205,3.1218879,.24846755,,,,,,,,.079588875
Information/life,child_mobile,Own mobile phone,6536,.0082244072,7.011786,3.0525596,3.1102273,.057667781,.0381729809374532,.077162579,2.730721328258722,3.3743978,2.789966345404928,3.4304883,1,.01854134
Information/life,child_sleep,Sleep duration,1023,-.064975336,-.21727592,2.8895864,2.9037039,.014117575,-.027903096823402,.056138247,2.167631789562157,3.611541,2.181423676601149,3.6259842,0,.0048619197
Labor market,child_fulltime,Full-time work,1102,.049533181,6.4725637,2.5419641,2.8625708,.32060665,.1752715730418146,.46594176,1.913115642934355,3.1708124,2.238241211788472,3.4869001,1,.11199956
Labor market,child_parttime,Part-time work,9,,,,,,,,,,,,,
Subjective,child_future_conf,Future confidence,7219,.015836785,.540416,3.125083,3.1336412,.0085584521,-.0030072225967485,.020124126,2.863121959632271,3.387044,2.874523681785851,3.3927591,0,.0027311526
Subjective,child_income_rank,Income rank,7216,.096498929,-.025493853,3.1438243,3.1413643,-.0024601296,-.0091476460926997,.0042273873,2.864371947191666,3.4232767,2.861649961120555,3.4210784,0,-.00078314048
Subjective,child_life_sat,Life satisfaction,7222,.034890536,-.0048905234,3.1361537,3.135983,-.00017063298,-.011852250625849,.011510985,2.847060038463231,3.4252474,2.847071343632172,3.4248948,0,-.000054411321
Subjective,child_status_rank,Status rank,7210,.026420683,.53028286,3.113023,3.1270335,.014010434,.0014379387575132,.02658293,2.834599496639723,3.3914464,2.850262343599812,3.4038045,1,.0044804234
Subjective,child_stress,Stress,170,-.05381665,.21329653,1.6409489,1.62947,-.011478906,-.1505244600556652,.12756665,-.6155622952559936,3.8974602,-.6654908820673557,3.9244311,0,-.007044564
